Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Reper_amplasare,Indicativ,xcoord,ycoord,zcoord
Parcul Intre Lacuri II,Reper amplasare: Intrarea de Nord in parc din Str. Nirajului<br>Indicativ: 45,,,,,-1,0,-1,,,Intrarea de Nord in parc din Str. Nirajului,"45",23.632546,46.779596,0
Parcul Intre Lacuri II,"Reper amplasare: Zona centrala a parcului, langa terenul de baschet<br>Indicativ: 46",,,,,-1,0,-1,,,"Zona centrala a parcului, langa terenul de baschet","46",23.633155,46.778991,0
Parcul Intre Lacuri II,Reper amplasare: Intrarea in parc dinspre Str. Muresului<br>Indicativ: 47,,,,,-1,0,-1,,,Intrarea in parc dinspre Str. Muresului,"47",23.633028,46.77859,0
Parcul Intre Lacuri II,Reper amplasare: Intrarea Sudica in parc la intersectia strazilor Muresului si Oltului<br>Indicativ: 48,,,,,-1,0,-1,,,Intrarea Sudica in parc la intersectia strazilor Muresului si Oltului,"48",23.633179,46.778107,0
Cimitirul Central,"Reper amplasare: Intrarea Sudica, langa poarta, pe dreapta<br>Indicativ: 51",,,,,-1,0,-1,,,"Intrarea Sudica, langa poarta, pe dreapta","51",23.595959,46.758294,0
Cimitirul Central,"Reper amplasare: In fata birourilor cimitirului, spre Capela<br>Indicativ: 52",,,,,-1,0,-1,,,"In fata birourilor cimitirului, spre Capela","52",23.59183,46.76574,0
Cimitirul Central,Reper amplasare: Bifurcare Alei<br>Indicativ: 53,,,,,-1,0,-1,,,Bifurcare Alei,"53",23.592598,46.765246,0
Parcul Armatura,"Reper amplasare: Intrarea dinspre Vest, zona aparatelor<br>Indicativ: 70",,,,,-1,0,-1,,,"Intrarea dinspre Vest, zona aparatelor","70",23.59723,46.788838,0
Parcul Armatura,Reper amplasare: Zona de Sud spre benzinaria Petrom<br>Indicativ: 71,,,,,-1,0,-1,,,Zona de Sud spre benzinaria Petrom,"71",23.597224,46.788052,0
Platoul Salii Sporturilor,Reper amplasare: Intrarea Nord-Estica<br>Indicativ: 67,,,,,-1,0,-1,,,Intrarea Nord-Estica,"67",23.565732,46.766547,0
Platoul Salii Sporturilor,Reper amplasare: Partea de Sud a platoului<br>Indicativ: 68,,,,,-1,0,-1,,,Partea de Sud a platoului,"68",23.565119,46.766105,0
Platoul Salii Sporturilor,"Reper amplasare: Zona de Nord-Vest a platoului, langa pista de biciclete<br>Indicativ: 69",,,,,-1,0,-1,,,"Zona de Nord-Vest a platoului, langa pista de biciclete","69",23.564336,46.766405,0
Malurile Somesului,"Reper amplasare: Blv. 1 Decembrie 1918, vis-a-vis de nr. 94<br>Indicativ: 79",,,,,-1,0,-1,,,"Blv. 1 Decembrie 1918, vis-a-vis de nr. 94","79",23.564631,46.767853,0
Malurile Somesului,"Reper amplasare: Malul Stang, intersectie str. Iancu de Hunedoara<br>Indicativ: 80",,,,,-1,0,-1,,,"Malul Stang, intersectie str. Iancu de Hunedoara","80",23.562372,46.767829,0
Malurile Somesului,"Reper amplasare: Malul Stang, langa cabina WC, aprope de intrarea spre plaja<br>Indicativ: 81",,,,,-1,0,-1,,,"Malul Stang, langa cabina WC, aprope de intrarea spre plaja","81",23.555649,46.767045,0
Malurile Somesului,"Reper amplasare: Malul Stang, aproape de intersectia cu str. Heinrich Heine<br>Indicativ: 82",,,,,-1,0,-1,,,"Malul Stang, aproape de intersectia cu str. Heinrich Heine","82",23.554531,46.766339,0
Malurile Somesului,"Reper amplasare: Malul Stang, partea de Vest a terenului de basket<br>Indicativ: 83",,,,,-1,0,-1,,,"Malul Stang, partea de Vest a terenului de basket","83",23.553334,46.765896,0
Malurile Somesului,"Reper amplasare: Malul Stang, spre podul Rozelor<br>Indicativ: 84",,,,,-1,0,-1,,,"Malul Stang, spre podul Rozelor","84",23.553013,46.765717,0
Malurile Somesului,"Reper amplasare: Malul Drept, intre aleile superioare<br>Indicativ: 86",,,,,-1,0,-1,,,"Malul Drept, intre aleile superioare","86",23.557568,46.767475,0
Malurile Somesului,"Reper amplasare: Malul Drept, in apropiere de Complexul de Natatie<br>Indicativ: 87",,,,,-1,0,-1,,,"Malul Drept, in apropiere de Complexul de Natatie","87",23.564078,46.766592,0
Malurile Somesului,"Reper amplasare: Malul Drept, in apropiere de podul Rozelor<br>Indicativ: 85",,,,,-1,0,-1,,,"Malul Drept, in apropiere de podul Rozelor","85",23.552474,46.765007,0
Malurile Somesului,"Reper amplasare: Malul Stang, Str. Sigismund Toduta intersectie cu str. Tebei<br>Indicativ: 88",,,,,-1,0,-1,,,"Malul Stang, Str. Sigismund Toduta intersectie cu str. Tebei","88",23.568895,46.769216,0
Malurile Somesului,"Reper amplasare: Malul Stang, intersectie str. Gavril Muzicescu si Bdul. 1 Dec. 1918<br>Indicativ: 89",,,,,-1,0,-1,,,"Malul Stang, intersectie str. Gavril Muzicescu si Bdul. 1 Dec. 1918","89",23.571296,46.769886,0
Malurile Somesului,"Reper amplasare: Malul Stang, parculetul inainte de podul Napoca<br>Indicativ: 90",,,,,-1,0,-1,,,"Malul Stang, parculetul inainte de podul Napoca","90",23.577188,46.771184,0
Malurile Somesului,"Reper amplasare: Malul Stang, intersetia str. Mamaia cu str. General Dragalina<br>Indicativ: 91",,,,,-1,0,-1,,,"Malul Stang, intersetia str. Mamaia cu str. General Dragalina","91",23.581895,46.772302,0
Malurile Somesului,"Reper amplasare: Malul Stang, parcare din spatele Camerei de COmert si Industrie<br>Indicativ: 92",,,,,-1,0,-1,,,"Malul Stang, parcare din spatele Camerei de COmert si Industrie","92",23.586193,46.774232,0
Bdul 21 Decembrie 1989,"Reper amplasare: Latura Nordica, intre Biserica Evanghelica si SORA shopping center<br>Indicativ: 93",,,,,-1,0,-1,,,"Latura Nordica, intre Biserica Evanghelica si SORA shopping center","93",23.590606,46.771278,0
Bdul 21 Decembrie 1989,"Reper amplasare: Latura Nordica, la Liceul Unitarian Janos Zsigmond<br>Indicativ: 94",,,,,-1,0,-1,,,"Latura Nordica, la Liceul Unitarian Janos Zsigmond","94",23.5924,46.771839,0
Bdul 21 Decembrie 1989,"Reper amplasare: Latura Nordica, intersectia str. Cuza Voda si piata Avram Iancu<br>Indicativ: 95",,,,,-1,0,-1,,,"Latura Nordica, intersectia str. Cuza Voda si piata Avram Iancu","95",23.595386,46.772728,0
Bdul 21 Decembrie 1989,"Reper amplasare: Latura Nordica, nr.39-41, langa statia de autobuz<br>Indicativ: 96",,,,,-1,0,-1,,,"Latura Nordica, nr.39-41, langa statia de autobuz","96",23.597245,46.773319,0
Bdul 21 Decembrie 1989,"Reper amplasare: Latura Sudica, in fata Liceului Teoretic ""Mihai Eminescu""<br>Indicativ: 97",,,,,-1,0,-1,,,"Latura Sudica, in fata Liceului Teoretic ""Mihai Eminescu""","97",23.600904,46.77439,0
Bdul 21 Decembrie 1989,"Reper amplasare: Latura Sudica, nr. 110, inainte de intersectia cu str. Petofi Sandor<br>Indicativ: 98",,,,,-1,0,-1,,,"Latura Sudica, nr. 110, inainte de intersectia cu str. Petofi Sandor","98",23.60418,46.775604,0
Bdul 21 Decembrie 1989,"Reper amplasare: Latura Nordica, in fata la The Office<br>Indicativ: 99",,,,,-1,0,-1,,,"Latura Nordica, in fata la The Office","99",23.604603,46.775946,0
Bdul 21 Decembrie 1989,Reper amplasare: Parcul Bisericii Sfantul Petru<br>Indicativ: 100,,,,,-1,0,-1,,,Parcul Bisericii Sfantul Petru,"100",23.606593,46.77649,0
Bdul 21 Decembrei 1989,Reper amplasare: Parcul Bisericii Sfantul Petru<br>Indicativ: 101,,,,,-1,0,-1,,,Parcul Bisericii Sfantul Petru,"101",23.606872,46.77658,0
